title,price
"Laptop 16-inch 8GB DDR 256GB SSD Portable Laptop,Expandable to 1TB Pentium Quad-core CPU up to 2.64 GHz 9000mAh Battery Mini HDMI Interface USB3.0 Interface Dual-Band WiFi Webcam Slim laptops",199.
"Laptop, Laptop Computer with Intel N97 Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD Windows 11 Laptop for Home Business and Student, 1080P, USB3.2,Long Battery Life",369.
"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",579.
"ASUS ROG Strix G16 Gaming Laptop, Intel i7-14650HX, 64 GB DDR5 RAM, 4 TB PCIe SSD, 16” FHD+ (1920x1200) Display, Nvidia G-Force RTX 5060, 4-Zone RGB Keyboard, W11 Pro, Eclipse Gray","1,849."
"HP 15.6"" FHD Laptop Computer Student and Business • The New Version for Everyday Use • AMD Dual-Core Silver CPU • 8GB RAM • 256GB PCIe • Type-C • RJ-45 • 1Yr Office 365 • Windows 11 Pro",
"jumper 2025 Gaming Laptop, AMD Ryzen 5 7430U(Up to 4.3GHz), 16GB DDR4 1TB NVME SSD, 15.6"" FHD IPS Screen, 62.7Wh Battery, Windows 11, GPU, USB3.2, 4 Stereo Speakers, 2 Memory Slots.",479.
"HP ProBook 4 G1i 14"" Notebook - WUXGA - Intel Core Ultra 7 255U - 32 GB - 512 GB SSD - English Keyboard - Pike Silver","1,266."
"Dell Inspiron 14 2-in-1 Laptop, 14"" FHD TouchScreen Display, AMD Ryzen 5-8640HS(Up to 4.9Hz), 32GB DDR5, 2TB PCIe SSD, Backlit KB, FP Reader, SD Card Reader, WiFi 6E, HDMI, USB-C, PDG HDMI, Win 11 Pro",
"jumper 16 inch Convertible Laptop, Laptop Computer with IPS FHD 360 Degree Touchscreen, 16GB RAM 640GB Storage, Fingerprint Reader, Backlit Keyboard, Celeron N5095, 53.2WH, 1 Year Office 365",399.
"ASUS Vivobook S 14 OLED Slim Laptop, AMD Ryzen AI 9 365(10 Cores), 24GB, 1TB SSD, Customizable RGB Keyboard, Cool Silver, M5406WA-AH94","1,249."
"Lenovo IdeaPad Slim 3X - 2025 - Everyday AI Laptop - Copilot+ PC - 15.3"" WUXGA Display - 16 GB Memory - 512 GB Storage - Qualcomm® Snapdragon® X - Luna Grey",679.
"HP 17t Performance Business Laptop, 17.3"" FHD, Intel Core i7-1355U, 32GB RAM, 1TB SSD, Fingerprint Reader, HDMI, SuperSpeed USB, Wi-Fi 6, Backlit Keyboard, Windows 11 Pro, Silver",
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 16GB RAM, 64GB SSD, Intel UHD Graphics, 720p Webcam, WiFi, HDMI, Win 11 S, Pink (Renewed)",199.
"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",523.
"MSI Katana 15 HX Gaming Laptop, Intel i9-14900HX, 64 GB DDR5 RAM, 2 TB PCIe SSD, 15.6"" QHD+ (2560x1440) 165Hz Display, Nvidia G-Force RTX 5070, 4 Zone RGB Keyboard, W11 Pro, Black","1,929."
"Lenovo 15.6"" FHD Chromebook-Intel Quad-Core N4120(> N4020) 4GB RAM,128GB Storage,(64GB eMMC+64GB SD Card),Home & Student Laptop,with Privacy Camera,Wi-Fi6,HDMI1.4,Chrome OS,Artic Grey",211.
"HP Essential 17.3 Copilot Ai Laptop | 17.3"" HD+ Touchscreen | Intel Core i5-1334U | 32GB RAM | 1TB SSD | Fingerprint | HDMI | Wi-Fi 6 | Windows 11 Pro | Bundle with ADATA 512GB External SSD",
"Dell Inspiron 16 5640 Laptop - 16.0-inch 16:10 FHD+ (1920 x 1200) Display, Intel Core 7-150U Processor, 16GB DDR5 RAM, 1TB SSD, Intel Graphics, Windows 11 Pro, Onsite & Migrate Service - Midnight Blue",
"HP Essential 17.3"" FHD Business Laptop, AMD Ryzen 7 7730U, AMD Radeon Graphics, 64GB RAM, 2TB PCIe SSD, Numeric Keypad, Backlit KB, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Silver",
"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Military Grade Durability, Black, E1504FA-AS33",304.
"Lenovo IdeaPad 5X 2-in-1 Copilot+ Extra-Long Battery Life 14"" WUXGA FHD+ OLED Touch Display 16GB Memory 512GB Storage Snapdragon X Plus 8-core Processor Windows 11 Home, Pen Included, Luna Gray",781.
"Samsung 16” Galaxy Book5 Pro 360 Copilot+ PC, AI Computer, Intel Core 7 Ultra Processor, 3K AMOLED (2880x1800) Touchscreen, S Pen,120Hz, Dolby Atmos, Student Laptop, Lightweight, All-Day Battery Life","1,349."
ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),158.
"Lenovo 2024 Yoga 7i 2-in-1 AI Laptop, 16"" WUXGA Touch, Intel 12-Core Ultra 7 155U (Beat i7-1355U), 16GB LPDDR5X RAM, 1TB SSD, Backlit, FP, FHD IR Webcam, AI Copilot, Win11 PRO, W/Portable SSD&Stylus",
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD | AMD Ryzen 3 7320U Quad-Core | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home",319.
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 6, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Silver",308.
"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",
"2025 AMD Laptop, 16.1inch Laptop Computer with AMD Ryzen 7 5000 Series(8C/16T, Up to 4.3GHz), 16GB RAM 512GB NVMe SSD Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6, Backlit KB",449.
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-586Z",674.
"Dell Inspiron 3530 Laptop - 15.6-inch FHD (1920 x 1080) Touchscreen Display, Intel Core i5-1335U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11 Home - Carbon Black",
"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 4GB RAM, 64GB Storage, Intel HD Graphics, 720p Webcam, 1 Year Office 365, Pink, Win 11 S, 32GB Hotface USB Card",
"AOC AX15 15.6-inch Portable Laptop Computer with Intel Alder Lake-N N97 Processor, Windows 11, 16GB RAM, 512GB SSD - Office Laptop for Students and Business Professionals","1,499."
"Dell Precision 7540 15.6 1TB Storage - 64GB RAM, 64-bit Windows 11 Pro, GPU Intel UHD Graphics 630, NVIDIA Quadro RTX3000 (Renewed)",
"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 8GB RAM, 256GB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",385.
"ASUS Vivobook 14 Linux Ubuntu Laptop, 14"" FHD Laptop Computer for Student & Business, 13th Gen Intel Core i3-1315U, 8GB RAM, 512GB SSD, NumberPad, Privacy Camera, Wireless Mouse, Linux Ubuntu OS",
"MSI Katana 15 HX 15.6” 165Hz QHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 5070, 32GB DDR5, 1TB NVMe SSD, RGB Keyboard, Win 11 Home: Black B14WGK-016US","1,499."
"Lenovo ThinkBook 15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel i7-1255U, 16GB RAM, 512GB SSD, HDMI, Thunderbolt 4, Webcam, Wi-Fi 6, Fingerprint Reader, SD Card Reader, Windows 11 Pro, Grey",
"Lenovo 2024 IdeaPad 1 Gen 7 Laptop, 15.6"" FHD Touchscreen, Intel Core i3-1215U, 16GB RAM, 512GB SSD, SD Card Reader, HDMI, Webcam, Wi-Fi 6, Windows 11 Home, Grey",409.
"DELL 13th Generation Business Inspiron 15 3530 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Pro, Black",
"Lenovo IdeaPad 3 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1155G7, 24GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Home, Blue",499.
"DELL 13th Generation Business Inspiron 15 3530 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1355U, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi 6, Windows 11 Pro, Black",
"ASUS Vivobook 17.3"" FHD Laptop, Intel 6-Core i3-1215U, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi 6E, Type-C, HDMI, Windows 11 Pro, w/BWE Accessories",479.
Microsoft Surface Laptop 4 13.5” Touch-Screen – Intel Core i7 - 32GB - 1TB Solid State Drive - Matte Black,
"acer Aspire 3 Premium Laptop Computer Featuring Backlit Keyboard | AMD Ryzen 5 7430U CPU | 16GB RAM | 512GB SSD | 15.6"" FHD Display | Fast Wi-Fi 6 | Webcam | Copilot AI Chat | Windows 11 Pro",
"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",249.
"Dell Latitude 5340 Multi-Touch 2-in-1 Laptop 13.3"" FHD, Intel Core i7-1365U, 32GB RAM, 2TB NVMe SSD, Webcam, Wi-Fi 6E, BT, Backlit Keyboard, Thunderbolt, HDMI, USB C, Windows 11 Pro, Notebook Grey","1,089."
"Laptop Computer, 8GB RAM, 128GB SSD, Quad-Core N5095 Processor Laptop, 14"" HD Display Laptops, Support WiFi 5, Bluetooth 5.0, USB 3.0, Webcam, Pre-Installed Office Pro Plus 2024",189.
"Dell Latitude 7420 FHD Laptop Notebook with Intel Core i7 11th Gen Processor (16GB Ram, 512GB SSD, WiFi, Bluetooth) Windows 11 Pro - Carbon Fiber (Renewed)",
