Title,Price,Area_sqft,Bedrooms,Bathrooms,Location,Location_encoded,Price_scaled,Area_scaled,Bedrooms_scaled,Bathrooms_scaled,Price_per_sqft
5 Marla Designer House In B-17 Multi Gardens,21000000,1361.25,4,4,"MPCHS - Multi Gardens, B-17",8,0.08372093,0.048913043,0.3333333333333333,0.5,15426.997245179064
House For Sale FMC,24000000,1361.25,4,4,"MPCHS - Multi Gardens, B-17",8,0.11162790697674418,0.048913043,0.3333333333333333,0.5,17630.853994490357
Designer 5 Marla House in B-17 Faisal Hills,18500000,1361.25,3,4,"MPCHS - Multi Gardens, B-17",8,0.060465116,0.048913043,0.2222222222222222,0.5,13590.449954086318
Corner House For Sale In B17 Islamabad Block F,25000000,1361.25,5,5,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.12093023255813953,0.048913043,0.4444444444444445,0.6666666666666666,18365.472910927456
Book House Today In MPCHS - Block B,95000000,5445,6,6,"MPCHS - Block B, MPCHS - Multi Gardens",2,0.772093023,0.45652173913043476,0.5555555555555556,0.8333333333333334,17447.199265381085
8 Marla Brand New Double Story House. Available For Sale In Multi Gardens. MPCHS B-17 Islamabad.,33000000,2178,4,6,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.19534883720930235,0.13043478260869562,0.3333333333333333,0.8333333333333334,15151.515151515152
5 Marla House On Installment,27000000,1361.25,5,6,"MPCHS - Multi Gardens, B-17",8,0.13953488372093026,0.048913043,0.4444444444444445,0.8333333333333334,19834.710743801654
10 Marla Well Maintained House For Sale,35000000,2722.5,7,6,"MPCHS - Multi Gardens, B-17",8,0.21395348837209305,0.18478260869565216,0.6666666666666665,0.8333333333333334,12855.831037649219
Luxury Designer 1 Kanal House in Multi Gardens B-17 Islamabad,95000000,5445,6,7,"MPCHS - Multi Gardens, B-17",8,0.772093023,0.45652173913043476,0.5555555555555556,0.9999999999999999,17447.199265381085
8 Marla Brand New Double Storey House Available For Sale In Multi Gardens MPCHS B-17 Islamabad,26000000,2178,6,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.13023255813953488,0.13043478260869562,0.5555555555555556,0.8333333333333334,11937.557392102846
Multi Gardens F Block 5 Marla Design House Available For Sale In B 17 Islamabad,24000000,1361.25,4,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.11162790697674418,0.048913043,0.3333333333333333,0.5,17630.853994490357
Top Quality 1 Kanal Designer House in B-17,85000000,5445,6,7,"MPCHS - Multi Gardens, B-17",8,0.6790697674418604,0.45652173913043476,0.5555555555555556,0.9999999999999999,15610.651974288337
8 Marla DESIGNER House For Sale In Multi Gardens MPCHS B-17 Block F Islamabad.,27000000,2178,6,6,"MPCHS - Multi Gardens, B-17",8,0.13953488372093026,0.13043478260869562,0.5555555555555556,0.8333333333333334,12396.694214876034
5 MARLA DESIGNER HOUSE ON INSTALLMENTS,18000000,1361.25,5,5,"MPCHS - Multi Gardens, B-17",8,0.055813953,0.048913043,0.4444444444444445,0.6666666666666666,13223.140495867769
Mpchs multi garden B-17 Islamabad   8 Marla brand new Park face house available for sale,33900000,2178,5,6,"MPCHS - Multi Gardens, B-17",8,0.20372093023255816,0.13043478260869562,0.4444444444444445,0.8333333333333334,15564.73829201102
Mpchs Multi Garden B-17 Islamabad,34900000,2178,4,6,"MPCHS - Block C, MPCHS - Multi Gardens",3,0.21302325581395348,0.13043478260869562,0.3333333333333333,0.8333333333333334,16023.875114784205
Lavish 5 marla house!Double unit ! Prime location!,21000000,1361.25,4,5,"MPCHS - Multi Gardens, B-17",8,0.08372093,0.048913043,0.3333333333333333,0.6666666666666666,15426.997245179064
Prime Location 8 Marla House Available In MPCHS - Block E For sale,30000000,2178,5,4,"MPCHS - Block E, MPCHS - Multi Gardens",6,0.16744186046511628,0.13043478260869562,0.4444444444444445,0.5,13774.104683195592
Multi Gardens F Block Homes Available For Sale In B 17 Islamabad,23000000,1361.25,5,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.10232558139534884,0.048913043,0.4444444444444445,0.8333333333333334,16896.23507805326
Multi Gardens F Block 5 Marla Homes Brand New Alive Location Available For Sale In B17 Islamabad,21500000,1361.25,4,5,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.088372093,0.048913043,0.3333333333333333,0.6666666666666666,15794.306703397613
5 Marla House For sale In MPCHS - Block F Islamabad,23000000,1361.25,5,6,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.10232558139534884,0.048913043,0.4444444444444445,0.8333333333333334,16896.23507805326
House For sale In MPCHS - Block C1,24000000,1361.25,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.11162790697674418,0.048913043,0.4444444444444445,0.8333333333333334,17630.853994490357
"MPCHS, B-17, F-Block, 5 Marla Double Storey Brand New Designer House",19000000,1361.25,5,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.065116279,0.048913043,0.4444444444444445,0.5,13957.759412304868
5 Marla Mordern House For Sale In Multi Gardens MPCHS B-17 Block F Islamabad.,20000000,1361.25,4,4,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.074418605,0.048913043,0.3333333333333333,0.5,14692.378328741965
5 Marla Designer House Brand New For Sale in B-17 MPECHS F block Luxury,20500000,1361.25,3,3,"MPCHS - Block F, MPCHS - Multi Gardens",7,0.079069767,0.048913043,0.2222222222222222,0.33333333333333337,15059.687786960514
Top Quality 8 Marla Designer House In B-17,34000000,2178,5,6,"MPCHS - Multi Gardens, B-17",8,0.20465116279069767,0.13043478260869562,0.4444444444444445,0.8333333333333334,15610.651974288337
Luxury 10 Marla Designer House in Multi Gardens B-17,46000000,2722.5,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.31627906976744186,0.18478260869565216,0.4444444444444445,0.8333333333333334,16896.23507805326
House For Sale In MPCHS - Block C1,58000000,2722.5,5,6,"MPCHS - Block C1, MPCHS - Multi Gardens",4,0.4279069767441861,0.18478260869565216,0.4444444444444445,0.8333333333333334,21303.948576675848
